[2026-08-15 08:25:30,141] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454044K) : substrate_text has 0 polygons
[2026-08-15 08:25:30,142] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454172K) : dfpad_drw has 0 polygons
[2026-08-15 08:25:30,142] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454172K) : dfpad_pillar has 0 polygons
[2026-08-15 08:25:30,143] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454300K) : dfpad_sbump has 0 polygons
[2026-08-15 08:25:30,143] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454300K) : thickgateox_drw has 0 polygons
[2026-08-15 08:25:30,144] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454428K) : pldb_drw has 0 polygons
[2026-08-15 08:25:30,144] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454428K) : pwell_drw has 0 polygons
[2026-08-15 08:25:30,145] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454556K) : pwell_pin has 0 polygons
[2026-08-15 08:25:30,146] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454556K) : pwell_block has 0 polygons
[2026-08-15 08:25:30,146] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454556K) : ic_drw has 0 polygons
[2026-08-15 08:25:30,147] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454684K) : via3_drw has 0 polygons
[2026-08-15 08:25:30,148] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454684K) : metal4_drw has 0 polygons
[2026-08-15 08:25:30,148] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454812K) : metal4_filler has 0 polygons
[2026-08-15 08:25:30,149] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454812K) : metal4_slit has 0 polygons
[2026-08-15 08:25:30,150] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454940K) : metal4 has 0 polygons
[2026-08-15 08:25:30,150] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (454940K) : metal4_pin has 0 polygons
[2026-08-15 08:25:30,151] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455068K) : metal4_mask has 0 polygons
[2026-08-15 08:25:30,151] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455068K) : metal4_nofill has 0 polygons
[2026-08-15 08:25:30,152] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455196K) : metal4_text has 0 polygons
[2026-08-15 08:25:30,152] [SUBPROCESS]    2026-08-15 08:25:30 +0200: Memory Usage (455196K) : metal4_OPC has 0 polygons
