16-Aug-2026 09:01:32 | INFO    | KLayout version detected: 0.30.9 (required >= 0.30.5)
16-Aug-2026 09:01:32 | INFO    | Using DRC JSON file: /foss/pdks/ihp-sg13g2/libs.tech/klayout/python/sg13g2_pycell_lib/sg13g2_tech_mod.json
16-Aug-2026 09:01:32 | INFO    | Running IHP-SG13G2 main checks on design /foss/designs/sar-adc/layout/oa_sar8_acore13.gds, topcell: oa_sar8_acore13
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : heatres_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : pempoly_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : fbe_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : empoly_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : ldmos_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : pbiwind_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : digisub_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : nodrc_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : text_drw has 1573 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : via4_drw has 226 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_drw has 827 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_pin has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_mask has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_filler has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_nofill has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_slit has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_text has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_opc has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_noqrc has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_res has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_iprobe has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : metal5_diffprb has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : radhard_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : memcap_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : varicap_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : flash_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : intbondvia_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : intbondmet_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : devbondvia_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : devbondmet_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : devtrench_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : redist_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : graphbot_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : graphtop_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : antvia1_drw has 0 polygons
2026-08-16 09:01:42 +0200: Memory Usage (447924K) : antmetal2_drw has 0 polygons
